phage,host,label,prob
KPS22S73Q4,C17,1,0.2679751648751096
KPS22S73Q4,C16,1,0.716216699173786
KPS22S73Q4,C24,1,0.6361351131711095
KPS22S73Q4,C25,1,0.8013370749166377
KPS22S73Q4,C42,1,0.7550862737895195
KPS22S73Q4,C98,1,0.7550862737895195
KPS22S73Q4,C45,1,0.9353211506550881
KPS22S74Q3,C17,1,0.46643332330411647
KPS22S74Q3,C16,1,0.8730176762263525
KPS22S74Q3,C24,1,0.920159236357043
KPS22S74Q3,C25,1,0.3686975337939486
KPS22S74Q3,C42,1,0.9102172339150406
KPS22S74Q3,C98,1,0.6133810178261039
KPS22S74Q3,C45,1,0.5576689182492408
KPT22S69Q4,C17,1,0.2792930424175572
KPT22S69Q4,C16,1,0.8102076945603027
KPT22S69Q4,C24,1,0.8266830680934242
KPT22S69Q4,C25,1,0.47407708859108333
KPT22S69Q4,C42,1,0.8030654006719224
KPT22S69Q4,C98,1,0.5818749832740197
KPT22S69Q4,C45,1,0.9478377973023495
KPT22S71Q1,C17,1,0.3148618851236862
KPT22S71Q1,C16,1,0.731757547772846
KPT22S71Q1,C24,1,0.7190926061737399
KPT22S71Q1,C25,1,0.8352554619756855
KPT22S71Q1,C42,1,0.7879493410267515
KPT22S71Q1,C98,1,0.7879493410267515
KPT22S71Q1,C45,1,0.7223614878979959
KPT22S72Q1,C17,1,0.3569601872342595
KPT22S72Q1,C16,1,0.8766895756891887
KPT22S72Q1,C24,1,0.8478906674851572
KPT22S72Q1,C25,1,0.4021299294026575
KPT22S72Q1,C42,1,0.8585705706480824
KPT22S72Q1,C98,1,0.42664273846603695
KPT22S72Q1,C45,1,0.44147812414834414
KPA208Q2,C98,1,0.42106716494195007
KPA208Q2,C45,1,0.40497220428032255
KPT22S42Q4,C16,1,0.4406456008785253
KPT22S42Q4,C24,1,0.5117218662738962
KPT22S42Q4,C25,1,0.256794512575693
KPT22S42Q4,C98,1,0.22645439922544494
KPT22S42Q4,C45,1,0.46919425656010644
KPM22S76Q1,C17,1,0.4742321798721111
KPM22S76Q1,C16,1,0.820337266585515
KPM22S76Q1,C24,1,0.8126495613472017
KPM22S76Q1,C25,1,0.7699457481630408
KPM22S76Q1,C42,1,0.45704069209576736
KPM22S76Q1,C98,1,0.4228538885133678
KPM22S76Q1,C45,1,0.713414547940278
KPR22S112Q1,C17,1,0.11876026285202339
KPR22S112Q1,C16,1,0.6984522925323713
KPR22S112Q1,C24,1,0.7410726317792518
KPR22S112Q1,C25,1,0.7912842871161626
KPR22S112Q1,C42,1,0.7712035914371219
KPR22S112Q1,C98,1,0.2988535132607594
KPR22S112Q1,C45,1,0.8871294017462379
KPA22S123Q2,C17,1,0.4111260641560577
KPA22S123Q2,C16,1,0.9483651457935985
KPA22S123Q2,C24,1,0.9195827439439697
KPA22S123Q2,C25,1,0.4152540942353045
KPA22S123Q2,C42,1,0.9476083430725101
KPA22S123Q2,C98,1,0.39642329895506656
KPA22S123Q2,C45,1,0.6450198489309714
KPA22S125Q4,C16,1,0.32822484307553274
KPA22S125Q4,C24,1,0.4417810169458892
KPA22S125Q4,C25,1,0.40047604334945014
